,Title,Award,Link,Year,Authors,Abstract
10,Assessing 2D and 3D Heatmaps for Comparative Analysis: An Empirical Study,,https://dl.acm.org/doi/abs/10.1145/3313831.3376675,2020,"['Matthias  Kraus', 'Katrin  Angerbauer', 'Juri  Buchmüller', 'Daniel  Schweitzer', 'Daniel A. Keim', 'Michael  Sedlmair', 'Johannes  Fuchs']","Heatmaps are a popular visualization technique that encode 2D density distributions using color or brightness. Experimental studies have shown though that both of these visual variables are inaccurate when reading and comparing numeric data values. A potential remedy might be to use 3D heatmaps by introducing height as a third dimension to encode the data. Encoding abstract data in 3D, however, poses many problems, too. To better understand this tradeoff, we conducted an empirical study (N=48) to evaluate the user performance of 2D and 3D heatmaps for comparative analysis tasks. We test our conditions on a conventional 2D screen, but also in a virtual reality environment to allow for real stereoscopic vision. Our main results show that 3D heatmaps are superior in terms of error rate when reading and comparing single data items. However, for overview tasks, the well-established 2D heatmap performs better."
11,Projection Boxes: On-the-fly Reconfigurable Visualization for Live Programming,,https://dl.acm.org/doi/abs/10.1145/3313831.3376494,2020,['Sorin  Lerner'],"Live programming is a regime in which the programming environment provides continual feedback, most often in the form of runtime values. In this paper, we present Projection Boxes, a novel visualization technique for displaying runtime values of programs. The key idea behind projection boxes is to start with a full semantics of the program, and then use projections to pick a subset of the semantics to display. By varying the projection used, projection boxes can encode both previously known visualization techniques, and also new ones. As such, projection boxes provide an expressive and configurable framework for displaying runtime information. Through a user study we demonstrate that (1) users find projection boxes and their configurability useful (2) users are not distracted by the always-on visualization (3) a key driving force behind the need for a configurable visualization for live programming lies with the wide variation in programmer preferences."
12,COGAM: Measuring and Moderating Cognitive Load in Machine Learning Model Explanations,,https://dl.acm.org/doi/abs/10.1145/3313831.3376615,2020,"['Ashraf  Abdul', 'Christian  von der Weth', 'Mohan  Kankanhalli', 'Brian Y. Lim']","Interpretable machine learning models trade -off accuracy for simplicity to make explanations more readable and easier to comprehend. Drawing from cognitive psychology theories in graph comprehension, we formalize readability as visual cognitive chunks to measure and moderate the cognitive load in explanation visualizations. We present Cognitive-GAM (COGAM) to generate explanations with desired cognitive load and accuracy by combining the expressive nonlinear generalized additive models (GAM) with simpler sparse linear models. We calibrated visual cognitive chunks with reading time in a user study, characterized the trade-off between cognitive load and accuracy for four datasets in simulation studies, and evaluated COGAM against baselines with users. We found that COGAM can decrease cognitive load without decreasing accuracy and/or increase accuracy without increasing cognitive load. Our framework and empirical measurement instruments for cognitive load will enable more rigorous assessment of the human interpretability of explainable AI."
13,"Awareness, Understanding, and Action: A Conceptual Framework of User Experiences and Expectations about Indoor Air Quality Visualizations",,https://dl.acm.org/doi/abs/10.1145/3313831.3376521,2020,"['Sunyoung  Kim', 'Muyang  Li']","With the advent of new sensors and technologies, smart devices that monitor the level of indoor air quality (IAQ) are increasingly available to create a healthy home environment. However, little has been studied regarding design principles for effective IAQ visualizations to help better understand and improve IAQ. We analyzed Amazon reviews of IAQ monitors and their design components for IAQ visualizations. Based on our findings, we created a conceptual framework to explain the process of facilitating an effective IAQ visualization with a proposed set of design considerations in each stage. The process includes helping users easily understand what is happing to IAQ (awareness), what it means to them (understanding), and what to do with the information (action), which results in two outcomes, knowledge gain and emotional relief. We hope our framework can help practitioners and researchers in designing eco-feedback system and beyond to advance both research and practice."
14,Dear Pictograph: Investigating the Role of Personalization and Immersion for Consuming and Enjoying Visualizations,,https://dl.acm.org/doi/abs/10.1145/3313831.3376348,2020,"['Hugo  Romat', 'Nathalie  Henry Riche', 'Christophe  Hurter', 'Steven  Drucker', 'Fereshteh  Amini', 'Ken  Hinckley']","Much of the visualization literature focuses on assessment of visual representations with regard to their effectiveness for understanding data. In the present work, we instead focus on making data visualization experiences more enjoyable, to foster deeper engagement with data. We investigate two strategies to make visualization experiences more enjoyable and engaging: personalization, and immersion. We selected pictographs (composed of multiple data glyphs) as this representation affords creative freedom, allowing people to craft symbolic or whimsical shapes of personal significance to represent data. We present the results of a qualitative study with 12 participants crafting pictographs using a large pen-enabled device and while immersed within a VR environment. Our results indicate that personalization and immersion both have positive impact on making visualizations more enjoyable experiences."
15,Truncating the Y-Axis: Threat or Menace?,HONORABLE_MENTION,https://dl.acm.org/doi/abs/10.1145/3313831.3376222,2020,"['Michael  Correll', 'Enrico  Bertini', 'Steven  Franconeri']","Bar charts with y-axes that don't begin at zero can visually exaggerate effect sizes. However, advice for whether or not to truncate the y-axis can be equivocal for other visualization types. In this paper we present examples of visualizations where this y-axis truncation can be beneficial as well as harmful, depending on the communicative and analytic intent. We also present the results of a series of crowd-sourced experiments in which we examine how y-axis truncation impacts subjective effect size across visualization types, and we explore alternative designs that more directly alert viewers to this truncation. We find that the subjective impact of axis truncation is persistent across visualizations designs, even for designs with explicit visual cues that indicate truncation has taken place. We suggest that designers consider the scale of the meaningful effect sizes and variation they intend to communicate, regardless of the visual encoding."
16,Progression Maps: Conceptualizing Narrative Structure for Interaction Design Support,,https://dl.acm.org/doi/abs/10.1145/3313831.3376527,2020,"['Elin  Carstensdottir', 'Nathan  Partlan', 'Steven  Sutherland', 'Tyler  Duke', 'Erika  Ferris', 'Robin M. Richter', 'Maria  Valladares', 'Magy  Seif El-Nasr']","Interactive narratives are frequently designed for learning and training applications, such as social training. In these contexts, designers may be inexperienced in storytelling and interaction design, and it may be difficult to quickly build an effective experience, even for experienced designers. Designers often approach this problem through iterative design. To augment and reduce iteration, we argue for the utility of employing models to reason about, evaluate, and improve designs. While there has been much previous work on interactive narrative models, none of them capture aspects of the interaction design necessary for testing and evaluation. In this paper we propose a new computational model called Progression Maps, which abstracts interaction design elements of the narrative's structure and visualizes its interaction properties. We report on the model, its implementation, and two studies evaluating its use. Our results demonstrate Progression Maps' effectiveness in communicating the underlying design through an easily understandable visualization."
17,A Comparison of Geographical Propagation Visualizations,,https://dl.acm.org/doi/abs/10.1145/3313831.3376350,2020,"['Vanessa  Peña-Araya', 'Anastasia  Bezerianos', 'Emmanuel  Pietriga']","Geographical propagation phenomena occur in multiple domains, such as in epidemiology and social media. Propagation dynamics are often complex, and visualizations play a key role in helping subject-matter experts understand and analyze them. However, there is little empirical data about the effectiveness of the various strategies used to visualize geographical propagation. To fill this gap, we conduct an experiment to evaluate the effectiveness of three strategies: an animated map, small-multiple maps, and a single map with glyphs. We compare them under five tasks that vary in one of the following dimensions: propagation scope, direction, speed, peaks, and spatial jumps. Our results show that small-multiple maps perform best overall, but that the effectiveness of each visualization varies depending on the task considered."
18,Du Bois Wrapped Bar Chart: Visualizing Categorical Data with Disproportionate Values,,https://dl.acm.org/doi/abs/10.1145/3313831.3376365,2020,"['Alireza  Karduni', 'Ryan  Wesslen', 'Isaac  Cho', 'Wenwen  Dou']","We propose a visualization technique, Du Bois wrapped bar chart, inspired by work of W.E.B Du Bois. Du Bois wrapped bar charts enable better large-to-small bar comparison by wrapping large bars over a certain threshold. We first present two crowdsourcing experiments comparing wrapped and standard bar charts to evaluate (1) the benefit of wrapped bars in helping participants identify and compare values; (2) the characteristics of data most suitable for wrapped bars. In the first study (n=98) using real-world datasets, we find that wrapped bar charts lead to higher accuracy in identifying and estimating ratios between bars. In a follow-up study (n=190) with 13 simulated datasets, we find participants were consistently more accurate with wrapped bar charts when certain category values are disproportionate as measured by entropy and H-spread. Finally, in an in-lab study, we investigate participants' experience and strategies, leading to guidelines for when and how to use wrapped bar charts."
19,Investigating Collaborative Exploration of Design Alternatives on a Wall-Sized Display,,https://dl.acm.org/doi/abs/10.1145/3313831.3376736,2020,"['Yujiro  Okuya', 'Olivier  Gladin', 'Nicolas  Ladevèze', 'Cédric  Fleury', 'Patrick  Bourdot']","Industrial design review is an iterative process which mainly relies on two steps involving many stakeholders: design discussion and CAD data adjustment. We investigate how a wall-sized display could be used to merge these two steps by allowing multidisciplinary collaborators to simultaneously generate and explore design alternatives. We designed ShapeCompare based on the feedback from a usability study. It enables multiple users to compute and distribute CAD data with touch interaction. To assess the benefit of the wall-sized display in such context, we ran a controlled experiment which aims to compare ShapeCompare with a visualization technique suitable for standard screens. The results show that pairs of participants performed a constraint solving task faster and used more deictic instructions with ShapeCompare. From these findings, we draw generic recommendations for collaborative exploration of alternatives."
20,Addressing Cognitive and Emotional Barriers in Parent-Clinician Communication through Behavioral Visualization Webtools,,https://dl.acm.org/doi/abs/10.1145/3313831.3376181,2020,"['Ha-Kyung  Kong', 'Karrie  Karahalios']","Effective communication between clinicians and parents of young children with developmental delays can decrease parents' anxiety, help them handle bad news, and improve their adherence to proposed interventions. However, parents have reported dissatisfaction regarding their current communication with clinicians, and they face cognitive and emotional challenges when discussing their child's developmental delays. In this paper, we present visualization as a facilitator of parent-clinician communication and how it could address existing communication challenges. Parents and clinicians anticipated visualization webtools would aid their communication by helping parents gain a better understanding of their child, acting as objective evidence, and highlighting the strength of the child as well as important medical concepts. In addition, visualization can act as a longitudinal record, helping parents track, explore, and share their child's developmental progress. Finally, we propose visualization as a tool to guide parents in their transition from feeling emotional and disempowered to advocating with confidence."
21,Automatic Annotation Synchronizing with Textual Description for Visualization,,https://dl.acm.org/doi/abs/10.1145/3313831.3376443,2020,"['Chufan  Lai', 'Zhixian  Lin', 'Ruike  Jiang', 'Yun  Han', 'Can  Liu', 'Xiaoru  Yuan']","In this paper, we propose a technique for automatically annotating visualizations according to the textual description. In our approach, visual elements in the target visualization, along with their visual properties, are identified and extracted with a Mask R-CNN model. Meanwhile, the description is parsed to generate visual search requests. Based on the identification results and search requests, each descriptive sentence is displayed beside the described focal areas as annotations. Different sentences are presented in various scenes of the generated animation to promote a vivid step-by-step presentation. With a user-customized style, the animation can guide the audience's attention via proper highlighting such as emphasizing specific features or isolating part of the data. We demonstrate the utility and usability of our method through a user study with use cases."
22,Move Your Body: Engaging Museum Visitors with Human-Data Interaction,,https://dl.acm.org/doi/abs/10.1145/3313831.3376186,2020,"['Milka  Trajkova', ""A'aeshah  Alhakamy"", 'Francesco  Cafaro', 'Rashmi  Mallappa', 'Sreekanth R. Kankara']","Museums have embraced embodied interaction: its novelty generates buzz and excitement among their patrons, and it has enormous educational potential. Human-Data Interaction (HDI) is a class of embodied interactions that enables people to explore large sets of data using interactive visualizations that users control with gestures and body movements. In museums, however, HDI installations have no utility if visitors do not engage with them. In this paper, we present a quasi-experimental study that investigates how different ways of representing the user (""mode type"") next-to a data visualization alters the way in which people engage with a HDI system. We consider four mode types: avatar, skeleton, camera overlay, and control. Our findings indicate that the mode type impacts the number of visitors that interact with the installation, the gestures that people do, and the amount of time that visitors spend observing the data on display and interacting with the system."
23,Dziban: Balancing Agency & Automation in Visualization Design via Anchored Recommendations,,https://dl.acm.org/doi/abs/10.1145/3313831.3376880,2020,"['Halden  Lin', 'Dominik  Moritz', 'Jeffrey  Heer']","Visualization recommender systems attempt to automate design decisions spanning choices of selected data, transformations, and visual encodings. However, across invocations such recommenders may lack the context of prior results, producing unstable outputs that override earlier design choices. To better balance automated suggestions with user intent, we contribute Dziban, a visualization API that supports both ambiguous specification and a novel anchoring mechanism for conveying desired context. Dziban uses the Draco knowledge base to automatically complete partial specifications and suggest appropriate visualizations. In addition, it extends Draco with chart similarity logic, enabling recommendations that also remain perceptually similar to a provided ""anchor"" chart. Existing APIs for exploratory visualization, such as ggplot2 and Vega-Lite, require fully specified chart definitions. In contrast, Dziban provides a more concise and flexible authoring experience through automated design, while preserving predictability and control through anchored recommendations."
24,Genie in the Bottle: Anthropomorphized Perceptions of Conversational Agents,,https://dl.acm.org/doi/abs/10.1145/3313831.3376665,2020,"['Anastasia  Kuzminykh', 'Jenny  Sun', 'Nivetha  Govindaraju', 'Jeff  Avery', 'Edward  Lank']","This paper presents a qualitative multi-phase study seeking to identify patterns in users' anthropomorphized perceptions of conversational agents. Through a comparative analysis of behavioral perceptions and visual conceptions of three agents — Alexa, Google Assistant, and Siri — we first show that the perceptions of an agent's character are structured according to five categories: approachability, sentiment toward a user, professionalism, intelligence, and individuality. We then explore visualizations of the agents' appearance and discuss the specifics assigned to each agent. Finally, we analyze associative explanations for these perceptions. We demonstrate that the anthropomorphized behavioral and visual perceptions of agents yield structural consistency and discuss how these perceptions are linked with each other and system features."
25,MaraVis: Representation and Coordinated Intervention of Medical Encounters in Urban Marathon,,https://dl.acm.org/doi/abs/10.1145/3313831.3376281,2020,"['Quan  Li', 'Huanbin  Lin', 'Xiguang  Wei', 'Yangkun  Huang', 'Lixin  Fan', 'Jian  Du', 'Xiaojuan  Ma', 'Tianjian  Chen']","There is an increased use of Internet-of-Things and wearable sensing devices in the urban marathon to ensure effective response to unforeseen medical needs. However, the massive amount of real-time, heterogeneous movement and psychological data of runners impose great challenges on prompt medical incident analysis and intervention. Conventional approaches compile such data into one dashboard visualization to facilitate rapid data absorption but fail to support joint decision-making and operations in medical encounters. In this paper, we present MaraVis, a real-time urban marathon visualization and coordinated intervention system. It first visually summarizes real-time marathon data to facilitate the detection and exploration of possible anomalous events. Then, it calculates an optimal camera route with an arrangement of shots to guide offline effort to catch these events in time with a smooth view transition. We conduct a within-subjects study with two baseline systems to assess the efficacy of MaraVis."
26,Unwind: Interactive Fish Straightening,,https://dl.acm.org/doi/abs/10.1145/3313831.3376846,2020,"['Francis  Williams', 'Alexander  Bock', 'Harish  Doraiswamy', 'Cassandra  Donatelli', 'Kayla  Hall', 'Adam  Summers', 'Daniele  Panozzo', 'Cláudio T. Silva']","The ScanAllFish project is a large-scale effort to scan all the world's 33,100 known species of fishes. It has already generated thousands of volumetric CT scans of fish species which are available on open access platforms such as the Open Science Framework. To achieve a scanning rate required for a project of this magnitude, many specimens are grouped together into a single tube and scanned all at once. The resulting data contain many fish which are often bent and twisted to fit into the scanner. Our system, Unwind, is a novel interactive visualization and processing tool which extracts, unbends, and untwists volumetric images of fish with minimal user interaction. Our approach enables scientists to interactively unwarp these volumes to remove the undesired torque and bending using a piecewise-linear skeleton extracted by averaging isosurfaces of a harmonic function connecting the head and tail of each fish. The result is a volumetric dataset of a individual, straight fish in a canonical pose defined by the marine biologist expert user. We have developed Unwind in collaboration with a team of marine biologists: Our system has been deployed in their labs, and is presently being used for dataset construction, biomechanical analysis, and the generation of figures for scientific publication."
27,DFSeer: A Visual Analytics Approach to Facilitate Model Selection for Demand Forecasting,,https://dl.acm.org/doi/abs/10.1145/3313831.3376866,2020,"['Dong  Sun', 'Zezheng  Feng', 'Yuanzhe  Chen', 'Yong  Wang', 'Jia  Zeng', 'Mingxuan  Yuan', 'Ting-Chuen  Pong', 'Huamin  Qu']","Selecting an appropriate model to forecast product demand is critical to the manufacturing industry. However, due to the data complexity, market uncertainty and users' demanding requirements for the model, it is challenging for demand analysts to select a proper model. Although existing model selection methods can reduce the manual burden to some extent, they often fail to present model performance details on individual products and reveal the potential risk of the selected model. This paper presents DFSeer, an interactive visualization system to conduct reliable model selection for demand forecasting based on the products with similar historical demand. It supports model comparison and selection with different levels of details. Besides, it shows the difference in model performance on similar products to reveal the risk of model selection and increase users' confidence in choosing a forecasting model. Two case studies and interviews with domain experts demonstrate the effectiveness and usability of DFSeer."
28,Interaction Techniques for Visual Exploration Using Embedded Word-Scale Visualizations,,https://dl.acm.org/doi/abs/10.1145/3313831.3376842,2020,"['Pascal  Goffin', 'Tanja  Blascheck', 'Petra  Isenberg', 'Wesley  Willett']","We describe a design space of view manipulation interactions for small data-driven contextual visualizations (word-scale visualizations). These interaction techniques support an active reading experience and engage readers through exploration of embedded visualizations whose placement and content connect them to specific terms in a document. A reader could, for example, use our proposed interaction techniques to explore word-scale visualizations of stock market trends for companies listed in a market overview article. When readers wish to engage more deeply with the data, they can collect, arrange, compare, and navigate the document using the embedded word-scale visualizations, permitting more visualization-centric analyses. We support our design space with a concrete implementation, illustrate it with examples from three application domains, and report results from two experiments. The experiments show how view manipulation interactions helped readers examine embedded visualizations more quickly and with less scrolling and yielded qualitative feedback on usability and future opportunities."
29,How Visualizing Inferential Uncertainty Can Mislead Readers About Treatment Effects in Scientific Results,HONORABLE_MENTION,https://dl.acm.org/doi/abs/10.1145/3313831.3376454,2020,"['Jake M. Hofman', 'Daniel G. Goldstein', 'Jessica  Hullman']","When presenting visualizations of experimental results, scientists often choose to display either inferential uncertainty (e.g., uncertainty in the estimate of a population mean) or outcome uncertainty (e.g., variation of outcomes around that mean) about their estimates. How does this choice impact readers' beliefs about the size of treatment effects? We investigate this question in two experiments comparing 95% confidence intervals (means and standard errors) to 95% prediction intervals (means and standard deviations). The first experiment finds that participants are willing to pay more for and overestimate the effect of a treatment when shown confidence intervals relative to prediction intervals. The second experiment evaluates how alternative visualizations compare to standard visualizations for different effect sizes. We find that axis rescaling reduces error, but not as well as prediction intervals or animated hypothetical outcome plots (HOPs), and that depicting inferential uncertainty causes participants to underestimate variability in individual outcomes."
30,A Probabilistic Grammar of Graphics,HONORABLE_MENTION,https://dl.acm.org/doi/abs/10.1145/3313831.3376466,2020,"['Xiaoying  Pu', 'Matthew  Kay']","Visualizations depicting probabilities and uncertainty are used everywhere from medical risk communication to machine learning, yet these probabilistic visualizations are difficult to specify, prone to error, and their designs are cumbersome to explore. We propose a Probabilistic Grammar of Graphics (PGoG), an extension to Wilkinson's original framework. Inspired by the success of probabilistic programming languages, PGoG makes probability expressions, such as P(A|B), a first-class citizen in the language. PGoG abstractions also reflect the distinction between probability and frequency framing, a concept from the uncertainty communication literature. It is expressive, encompassing product plots, density plots, icon arrays, and dotplots, among other visualizations. Its coherent syntax ensures correctness (that the proportions of visual elements and their spatial placement reflect the underlying probability distribution) and reduces edit distance between probabilistic visualization specifications, potentially supporting more design exploration. We provide a proof-of-concept implementation of PGoG in R."
31,"See, Feel, Move: Player Behaviour Analysis through Combined Visualization of Gaze, Emotions, and Movement",HONORABLE_MENTION,https://dl.acm.org/doi/abs/10.1145/3313831.3376401,2020,"['Daniel  Kepplinger', 'Günter  Wallner', 'Simone  Kriglstein', 'Michael  Lankes']","Playtesting of games often relies on a mixed-methods approach to obtain more holistic insights about and, in turn, improve the player experience. However, triangulating the different data sources and visualizing them in an integrated manner such that they contextualize each other still proves challenging. Despite its potential value for gauging player behaviour, this area of research continues to be underexplored. In this paper, we propose a visualization approach that combines commonly tracked movement data with - from a visualization perspective rarely considered - gaze behaviour and emotional responses. We evaluated our approach through a qualitative expert study with five professional game developers. Our results show that both the individual visualization of gaze, emotions, and movement but especially their combination are valuable to understand and form hypotheses about player behaviour. At the same time, our results stress that careful attention needs to be paid to ensure that the visualization remains legible and does not obfuscate information."
