,Title,Award,DOI Link,Year,Authors,Abstract
10,Saliency Deficit and Motion Outlier Detection in Animated Scatterplots,HONORABLE_MENTION,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300771,2019,"['Rafael Veras', 'Christopher Collins']","We report the results of a crowdsourced experiment that measured the accuracy of motion outlier detection in multivariate, animated scatterplots. The targets were outliers either in speed or direction of motion, and were presented with varying levels of saliency in dimensions that are irrelevant to the task of motion outlier detection (e.g., color, size, position). We found that participants had trouble finding the outlier when it lacked irrelevant salient features and that visual channels contribute unevenly to the odds of an outlier being correctly detected. Direction of motion contributes the most to accurate detection of speed outliers, and position contributes the most to accurate detection of direction outliers. We introduce the concept of saliency deficit in which item importance in the data space is not reflected in the visualization due to a lack of saliency. We conclude that motion outlier detection is not well supported in multivariate animated scatterplots."
11,"Measuring the Separability of Shape, Size, and Color in Scatterplots",,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300899,2019,"['Stephen Smart', 'Danielle Albers Szafir']","Scatterplots commonly use multiple visual channels to encode multivariate datasets. Such visualizations often use size, shape, and color as these dimensions are considered separable--dimensions represented by one channel do not significantly interfere with viewers' abilities to perceive data in another. However, recent work shows the size of marks significantly impacts color difference perceptions, leading to broader questions about the separability of these channels. In this paper, we present a series of crowdsourced experiments measuring how mark shape, size, and color influence data interpretation in multiclass scatterplots. Our results indicate that mark shape significantly influences color and size perception, and that separability among these channels functions asymmetrically: shape more strongly influences size and color perceptions in scatterplots than size and color influence shape. Models constructed from the resulting data can help designers anticipate viewer perceptions to build more effective visualizations."
12,A Lie Reveals the Truth: Quasimodes for Task-Aligned Data Presentation,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300423,2019,"['Jacob Ritchie', 'Daniel Wigdor', 'Fanny Chevalier']","Designers are often discouraged from creating data visualizations that omit or distort information, because they can easily be misleading. However, the same representations that could be used to deceive can provide benefits when chosen to appropriately align with user tasks. We present an interaction technique, Perceptual Glimpses, which allows for the transparent presentation of so-called 'deceptive' views of information that are made temporary using quasimodes. When presented using Perceptual Glimpses, message-level exaggeration caused by a truncated axis on a bar chart was reduced under some conditions, but users require guidance to avoid errors, and view presentation order may affect trust. When Perceptual Glimpses was extended to display a range of views that might otherwise be deceptive or difficult to understand if shown out of context, users were able to understand and leverage these transformations to perform a range of low-level tasks. Design recommendations and examples suggest extensions of the technique."
13,Aggregated Visualization of Playtesting Data,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300593,2019,"['Günter Wallner', 'Nour Halabi', 'Pejman Mirza-Babaei']","Playtesting is a key component in the game development process aimed at improving the quality of games through the collection of gameplay data and identification of design issues. Visualization techniques are currently being employed to help integrate quantitative and qualitative data. Despite that, two existing challenges are to determine the level of detail to be presented to developers based on their needs and to effectively communicate the collected data so that informed design changes can be reached. In this paper, we first propose an aggregated visualization technique that makes use of clustering, territory tessellation, and trajectory aggregation to simultaneously display mixed playtesting data. Secondly, to assess the usefulness of our technique we evaluate it through interviews with professional game developers and compare it to a non-aggregated visualization. The results of this study also provide an important contribution towards identifying areas of improvement in the portrayal of gameplay data."
14,Examining and Enhancing the Illusory Touch Perception in Virtual Reality Using Non-Invasive Brain Stimulation,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300477,2019,"['Filip Škola', 'Fotis Liarokapis']","Virtual reality (VR) can be immersive to such a degree that users sometimes report feeling tactile sensations based on visualization of the touch, without any actual physical contact. This effect is not only interesting for studies of human perception, but can also be leveraged to improve the quality of VR by evoking tactile sensations without usage of specialized equipment. The aim of this paper is to study brain processing of the illusory touch and its enhancement for purposes of exploitation in VR scene design. To amplify the illusory touch, transcranial direct current stimulation (tDCS) was used. Participants attended two sessions with blinded stimulation and interacted with a virtual ball using tracked hands in VR. The effects were studied using electroencephalography (EEG), that allowed us to examine stimulation-induced changes in processing of the illusory touch in the brain, as well as to identify its neural correlates. Results confirm enhanced processing of the illusory touch after the stimulation, and some of these changes were correlated to subjective rating of its magnitude."
15,Ethical Dimensions of Visualization Research,HONORABLE_MENTION,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300418,2019,['Michael Correll'],"Visualizations have a potentially enormous influence on how data are used to make decisions across all areas of human endeavor. However, it is not clear how this power connects to ethical duties: what obligations do we have when it comes to visualizations and visual analytics systems, beyond our duties as scientists and engineers? Drawing on historical and contemporary examples, I address the moral components of the design and use of visualizations, identify some ongoing areas of visualization research with ethical dilemmas, and propose a set of additional moral obligations that we have as designers, builders, and researchers of visualizations."
16,PicMe: Interactive Visual Guidance for Taking Requested Photo Composition,BEST_PAPER,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300625,2019,"['Minju Kim', 'Jungjin Lee']","PicMe is a mobile application that provides interactive on-screen guidance that helps the user take pictures of a composition that another person requires. Once the requester captures a picture of the desired composition and delivers it to the user (photographer), a 2.5D guidance system, called the virtual frame, guides the user in real-time by showing a three-dimensional composition of the target image (i.e., size and shape). In addition, according to the matching accuracy rate, we provide a small-sized target image in an inset window as feedback and edge visualization for further alignment of the detail elements. We implemented PicMe to work fully in mobile environments. We then conducted a preliminary user study to evaluate the effectiveness of PicMe compared to traditional 2D guidance methods. The results show that PicMe helps users reach their target images more accurately and quickly by giving participants more confidence in their tasks."
17,Towards Effective Foraging by Data Scientists to Find Past Analysis Choices,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300322,2019,"['Mary Beth Kery', 'Bonnie E John', ""Patrick O'Flaherty"", 'Amber Horvath', 'Brad A. Myers']","Data scientists are responsible for the analysis decisions they make, but it is hard for them to track the process by which they achieved a result. Even when data scientists keep logs, it is onerous to make sense of the resulting large number of history records full of overlapping variants of code, output, plots, etc. We developed algorithmic and visualization techniques for notebook code environments to help data scientists forage for information in their history. To test these interventions, we conducted a think-aloud evaluation with 15 data scientists, where participants were asked to find specific information from the history of another person's data science project. The participants succeed on a median of 80% of the tasks they performed. The quantitative results suggest promising aspects of our design, while qualitative results motivated a number of design improvements. The resulting system, called Verdant, is released as an open-source extension for JupyterLab."
18,DataToon: Drawing Dynamic Network Comics With Pen + Touch Interaction,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300335,2019,"['Nam Wook Kim', 'Nathalie Henry Riche', 'Benjamin Bach', 'Guanpeng Xu', 'Matthew Brehmer', 'Ken Hinckley', 'Michel Pahud', 'Haijun Xia', 'Michael J. McGuffin', 'Hanspeter Pfister']","Comics are an entertaining and familiar medium for presenting compelling stories about data. However, existing visualization authoring tools do not leverage this expressive medium. In this paper, we seek to incorporate elements of comics into the construction of data-driven stories about dynamic networks. We contribute DataToon, a flexible data comic storyboarding tool that blends analysis and presentation with pen and touch interactions. A storyteller can use DataToon rapidly generate visualization panels, annotate them, and position them within a canvas to produce a visually compelling narrative. In a user study, participants quickly learned to use DataToon for producing data comics."
19,Ranked-List Visualization: A Graphical Perception Study,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300422,2019,"['Pranathi Mylavarapu', 'Adil Yalcin', 'Xan Gregg', 'Niklas Elmqvist']","Visualization of ranked lists is a common occurrence, but many in-the-wild solutions fly in the face of vision science and visualization wisdom. For example, treemaps and bubble charts are commonly used for this purpose, despite the fact that the data is not hierarchical and that length is easier to perceive than area. Furthermore, several new visual representations have recently been suggested in this area, including wrapped bars, packed bars, piled bars, and Zvinca plots. To quantify the differences and trade-offs for these ranked-list visualizations, we here report on a crowdsourced graphical perception study involving six such visual representations, including the ubiquitous scrolled barchart, in three tasks: ranking (assessing a single item), comparison (two items), and average (assessing global distribution). Results show that wrapped bars may be the best choice for visualizing ranked lists, and that treemaps are surprisingly accurate despite the use of area rather than length to represent value."
20,Falcon: Balancing Interactive Latency and Resolution Sensitivity for Scalable Linked Visualizations,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300924,2019,"['Dominik Moritz', 'Bill Howe', 'Jeffrey Heer']","We contribute user-centered prefetching and indexing methods that provide low-latency interactions across linked visualizations, enabling cold-start exploration of billion-record datasets. We implement our methods in Falcon, a web-based system that makes principled trade-offs between latency and resolution to optimize brushing and view switching times. To optimize latency-sensitive brushing actions, Falcon reindexes data upon changes to the active view a user is brushing in. To limit view switching times, Falcon initially loads reduced interactive resolutions, then progressively improves them. Benchmarks show that Falcon sustains real-time interactivity of 50fps for pixel-level brushing and linking across multiple visualizations with no costly precomputation. We show constant brushing performance regardless of data size on datasets ranging from millions of records in the browser to billions when connected to a backing database system."
21,DataSelfie: Empowering People to Design Personalized Visuals to Represent Their Data,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300309,2019,"['Nam Wook Kim', 'Hyejin Im', 'Nathalie Henry Riche', 'Alicia Wang', 'Krzysztof Gajos', 'Hanspeter Pfister']","Many personal informatics systems allow people to collect and manage personal data and reflect more deeply about themselves. However, these tools rarely offer ways to customize how the data is visualized. In this work, we investigate the question of how to enable people to determine the representation of their data. We analyzed the Dear Data project to gain insights into the design elements of personal visualizations. We developed DataSelfie, a novel system that allows individuals to gather personal data and design custom visuals to represent the collected data. We conducted a user study to evaluate the usability of the system as well as its potential for individual and collaborative sensemaking of the data."
22,VizML: A Machine Learning Approach to Visualization Recommendation,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300358,2019,"['Kevin Hu', 'Michiel A. Bakker', 'Stephen Li', 'Tim Kraska', 'César Hidalgo']","Visualization recommender systems aim to lower the barrier to exploring basic visualizations by automatically generating results for analysts to search and select, rather than manually specify. Here, we demonstrate a novel machine learning-based approach to visualization recommendation that learns visualization design choices from a large corpus of datasets and associated visualizations. First, we identify five key design choices made by analysts while creating visualizations, such as selecting a visualization type and choosing to encode a column along the X- or Y-axis. We train models to predict these design choices using one million dataset-visualization pairs collected from a popular online visualization platform. Neural networks predict these design choices with high accuracy compared to baseline models. We report and interpret feature importances from one of these baseline models. To evaluate the generalizability and uncertainty of our approach, we benchmark with a crowdsourced test set, and show that the performance of our model is comparable to human performance when predicting consensus visualization type, and exceeds that of other visualization recommender systems."
23,Visually Encoding the Lived Experience of Bipolar Disorder,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300363,2019,"['Jaime Snyder', 'Elizabeth L. Murnane', 'Caitie Lustig', 'Stephen Voida']","Issues of social identity, attitudes towards self-disclosure, and potentially biased approaches to what is considered ""typical"" or ""normal"" are critical factors when designing visualizations for personal informatics systems. This is particularly true when working with vulnerable populations like those who self-track to manage serious mental illnesses like bipolar disorder (BD). We worked with individuals diagnosed with BD to 1) better understand sense-making challenges related to the representation and interpretation of personal data and 2) probe the benefits, risks, and limitations of participatory approaches to designing personal data visualizations that better reflect their lived experiences. We describe our co-design process, present a series of emergent visual encoding schemas resulting from these activities, and report on the assessment of these speculative designs by participants. We conclude by summarizing important considerations and implications for designing personal data visualizations for (and with) people who self-track to manage serious mental illness."
24,MindDot: Supporting Effective Cognitive Behaviors in Concept Map-Based Learning Environments,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300258,2019,"['Shang Wang', 'Deniz Sonmez Unal', 'Erin Walker']","While prior research has revealed the promising impact of concept mapping on learning, few have comprehensively modeled different cognitive behaviors during concept mapping. In addition, existing concept mapping tools lack effective feedback to support better learning behaviors. This work presents MindDot, a concept map-based learning environment that facilitates the cognitive process of comparing and integrating related concepts via two forms of support. A hyperlink support and an expert template. Study results suggested that both types of support had positive impact on the development of comparative strategies and that hyperlink support enhanced learning. We further evaluated the cognitive learning progress at a fine-grained level with two forms of visualizations. We then extracted several behavioral patterns that provided insights about the cognitive progress in learning. Lastly, we derive design recommendations that we hope will inspire future intelligent tutoring systems that automatically evaluate students' learning behaviors and foster them in developing effective learning behaviors"
25,Visualizing Uncertainty and Alternatives in Event Sequence Predictions,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300803,2019,"['Shunan Guo', 'Fan Du', 'Sana Malik', 'Eunyee Koh', 'Sungchul Kim', 'Zhicheng Liu', 'Donghyun Kim', 'Hongyuan Zha', 'Nan Cao']","Data analysts apply machine learning and statistical methods to timestamped event sequences to tackle various problems but face unique challenges when interpreting the results. Especially in event sequence prediction, it is difficult to convey uncertainty and possible alternative paths or outcomes. In this work, informed by interviews with five machine learning practitioners, we iteratively designed a novel visualization for exploring event sequence predictions of multiple records where users are able to review the most probable predictions and possible alternatives alongside uncertainty information. Through a controlled study with 18 participants, we found that users are more confident in making decisions when alternative predictions are displayed and they consider the alternatives more when deciding between two options with similar top predictions."
26,Eye-Write: Gaze Sharing for Collaborative Writing,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300727,2019,"['Grete Helena Kütt', 'Kevin Lee', 'Ethan Hardacre', 'Alexandra Papoutsaki']","Online collaborative writing is an increasingly common practice. Despite its positive effect on productivity and quality of work, it poses challenges to co-authors in remote settings because of limitations in conversational grounding and activity awareness. This paper presents Eye-Write, a novel system which allows two co-authors to see at will the location of their partner's gaze within a text editor. To investigate the effect of shared gaze on collaboration, we conducted a study on synchronous remote collaborative writing in academic settings with 20 dyads. Gaze sharing improved five aspects of perceived collaboration quality: mutual understanding, level of joint attention, flow of communication, level of negotiation, and awareness of the co-author's activity. Furthermore, dyads whose participants deactivated the gaze visualization showed a smaller degree of collaboration. Our findings offer insights for future text editors by outlining the benefits of at-will gaze sharing in collaborative writing."
27,Concept-Driven Visual Analytics: an Exploratory Study of Model- and Hypothesis-Based Reasoning with Visualizations,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300298,2019,"['In Kwon Choi', 'Taylor Childers', 'Nirmal Kumar Raveendranath', 'Swati Mishra', 'Kyle Harris', 'Khairi Reda']","Visualization tools facilitate exploratory data analysis, but fall short at supporting hypothesis-based reasoning. We conducted an exploratory study to investigate how visualizations might support a concept-driven analysis style, where users can optionally share their hypotheses and conceptual models in natural language, and receive customized plots depicting the fit of their models to the data. We report on how participants leveraged these unique affordances for visual analysis. We found that a majority of participants articulated meaningful models and predictions, utilizing them as entry points to sensemaking. We contribute an abstract typology representing the types of models participants held and externalized as data expectations. Our findings suggest ways for rearchitecting visual analytics tools to better support hypothesis- and model-based reasoning, in addition to their traditional role in exploratory analysis. We discuss the design implications and reflect on the potential benefits and challenges involved."
28,Haptipedia: Accelerating Haptic Device Discovery to Support Interaction & Engineering Design,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300788,2019,"['Hasti Seifi', 'Farimah Fazlollahi', 'Michael Oppermann', 'John Andrew Sastrillo', 'Jessica Ip', 'Ashutosh Agrawal', 'Gunhyuk Park', 'Katherine J. Kuchenbecker', 'Karon E. MacLean']","Creating haptic experiences often entails inventing, modifying, or selecting specialized hardware. However, interaction designers are rarely engineers, and 30 years of haptic inventions are buried in a fragmented literature that describes devices mechanically rather than by potential purpose. We conceived of Haptipedia to unlock this trove of examples: Haptipedia presents a device corpus for exploration through metadata that matter to both device and interaction designers. It is a taxonomy of device attributes that go beyond physical description to capture potential utility, applied to a growing database of 105 grounded force-feedback devices, and accessed through a public visualization that links utility to morphology. Haptipedia's design was driven by both systematic review of the haptic device literature and rich input from diverse haptic designers. We describe Haptipedia's reception (including hopes it will redefine device reporting standards) and our plans for its sustainability through community participation."
29,On the Shoulder of the Giant: A Multi-Scale Mixed Reality Collaboration with 360 Video Sharing and Tangible Interaction,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300458,2019,"['Thammathip Piumsomboon', 'Gun A. Lee', 'Andrew Irlitti', 'Barrett Ens', 'Bruce H. Thomas', 'Mark Billinghurst']","We propose a multi-scale Mixed Reality (MR) collaboration between the Giant, a local Augmented Reality user, and the Miniature, a remote Virtual Reality user, in Giant-Miniature Collaboration (GMC). The Miniature is immersed in a 360-video shared by the Giant who can physically manipulate the Miniature through a tangible interface, a combined 360-camera with a 6 DOF tracker. We implemented a prototype system as a proof of concept and conducted a user study (n=24) comprising of four parts comparing: A) two types of virtual representations, B) three levels of Miniature control, C) three levels of 360-video view dependencies, and D) four 360-camera placement positions on the Giant. The results show users prefer a shoulder mounted camera view, while a view frustum with a complimentary avatar is a good visualization for the Miniature virtual representation. From the results, we give design recommendations and demonstrate an example Giant-Miniature Interaction."
30,Data is Personal: Attitudes and Perceptions of Data Visualization in Rural Pennsylvania,BEST_PAPER,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300474,2019,"['Evan M. Peck', 'Sofia E. Ayuso', 'Omar El-Etr']","Many of the guidelines that inform how designers create data visualizations originate in studies that unintentionally exclude populations that are most likely to be among the 'data poor'. In this paper, we explore which factors may drive attention and trust in rural populations with diverse economic and educational backgrounds - a segment that is largely underrepresented in the data visualization literature. In 42 semi-structured interviews in rural Pennsylvania (USA), we find that a complex set of factors intermix to inform attitudes and perceptions about data visualization - including educational background, political affiliation, and personal experience. The data and materials for this research can be found at https://osf.io/uxwts/"
31,Thinking Too Classically: Toward a Research Agenda for Human-Quantum Computer Interaction,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300486,2019,"['Zahra Ashktorab', 'Justin D. Weisz', 'Maryam Ashoori']","Quantum computing is a fundamentally different way of performing computation than classical computing. Many problems that are considered hard for classical computers may have efficient solutions using quantum computers. Recently, technology companies including IBM, Microsoft, and Google have invested in developing both quantum computing hardware and software to explore the potential of quantum computing. Because of the radical shift in computing paradigms that quantum represents, we see an opportunity to study the unique needs people have when interacting with quantum systems, what we call Quantum HCI (QHCI). Based on interviews with experts in quantum computing, we identify four areas in which HCI researchers can contribute to the field of quantum computing. These areas include understanding current and future quantum users, tools for programming and debugging quantum algorithms, visualizations of quantum states, and educational materials to train the first generation of ""quantum native"" programmers."
32,Understanding Law Enforcement Strategies and Needs for Combating Human Trafficking,,https://dlnext.acm.org/doi/abs/10.1145/3290605.3300561,2019,"['Julia Deeb-Swihart', 'Alex Endert', 'Amy Bruckman']","In working to rescue victims of human trafficking, law enforcement officers face a host of challenges. Working in complex, layered organizational structures, they face challenges of collaboration and communication. Online information is central to every phase of a human-trafficking investigation. With terabytes of available data such as sex work ads, policing is increasingly a big-data research problem. In this study, we interview sixteen law enforcement officers working to rescue victims of human trafficking to try to understand their computational needs. We highlight three major areas where future work in human-computer interaction can help. First, combating human trafficking requires advances in information visualization of large, complex, geospatial data, as victims are frequently forcibly moved across jurisdictions. Second, the need for unified information databases raises critical research issues of usable security and privacy. Finally, the archaic nature of information systems available to law enforcement raises policy issues regarding resource allocation for software development."
